Japanese,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Type,Genre,Score,Score Count,Synonyms,Genres,English,Theme,Themes,Broadcast,Premiered,Demographic
淫獣 ねらわれたアイドル,1,Finished Airing,"Jul 2, 1997",['Pink Pineapple'],['SoftCel Pictures'],['PP Project'],Unknown,47 min.,Rx - Hentai,N/A,#10623,"1,283",2,['OVA'],['Hentai'],4.70,453,,,Idol of Darkness,['Demons'],,,,
素人倶楽部/ハメ撮りアニメ完全無修正!!,1,Finished Airing,"Aug 20, 2003","None found,","None found,","None found,",Unknown,29 min.,Rx - Hentai,N/A,#12725,572,0,['OVA'],['Hentai'],4.69,173,Shirouto Kurabu,,,,,,,
プリマドンナ舞,1,Finished Airing,"Dec 21, 2001",['Obtain Future'],"None found,","None found,",Unknown,28 min.,Rx - Hentai,N/A,#11262,988,1,['OVA'],['Hentai'],4.68,286,,,,,,,,
僧侶と交わる色欲の夜に…,12,Finished Airing,"Apr 3, 2017 to Jun 19, 2017","['Kujou-kun no Bonnou wo Mimamoru-kai', 'Cloud22']","None found,",['Seven'],Manga,3 min. per ep.,R+ - Mild Nudity,N/A,#2858,"39,789",80,['TV'],,4.66,13839,On a Lustful Night Mingling with a Priest,"['Drama', 'Romance', 'Erotica']",,,,Mondays at 01:00 (JST),['Spring 2017'],
パンキー ファンキー ベイビー,1,Finished Airing,"May 1, 1985","None found,","None found,","None found,",Unknown,25 min.,Rx - Hentai,N/A,#12416,653,0,['OVA'],['Hentai'],4.65,210,"Synphony Yume Monogatari, Symphony Yume Monogatari, Little Mermaid Series",,Punky Funky Baby,,,,,
聖ミカエラ学園漂流記Ⅱ,2,Finished Airing,"Oct 21, 1994 to Nov 25, 1995",['All Products'],['Central Park Media'],['J.C.Staff'],Unknown,47 min. per ep.,Rx - Hentai,N/A,#11122,"1,053",0,['OVA'],['Hentai'],4.65,324,"St. Michaela School II, Sins of the Sisters",,Sins of the Sisters,,,,,
弥生,1,Finished Airing,"Dec 28, 1997","None found,","None found,","None found,",Unknown,6 min.,Rx - Hentai,N/A,#11383,950,0,['OVA'],['Hentai'],4.64,350,Police Girl Yayoi,,,,,,,
69 핑크 라이더스 2,1,Finished Airing,"Feb 18, 2002","None found,","None found,","None found,",Unknown,55 min.,Rx - Hentai,N/A,#10892,"1,152",0,['OVA'],['Hentai'],4.64,323,,,69 Pink Riders 2,,,,,
アイドル強制操作,2,Finished Airing,"Feb 24, 2017 to Apr 13, 2018","None found,","None found,","None found,",Manga,28 min. per ep.,Rx - Hentai,N/A,#8488,"2,989",2,['OVA'],['Hentai'],4.63,789,,,,,,,,
ミルキィギャル キャッツ愛,1,Finished Airing,"Jun 21, 1985",['Fuji Video'],"None found,","None found,",Unknown,30 min.,Rx - Hentai,N/A,#12805,564,0,['OVA'],['Hentai'],4.61,161,,,,,,,,
微・笑・女あにめラマ「ミユキちゃんSOS-Hしちゃうゾ-」,1,Finished Airing,"Aug 24, 1989","None found,","None found,","None found,",Unknown,30 min.,Rx - Hentai,N/A,#12248,687,2,['OVA'],['Hentai'],4.60,202,Sexy Anime Rama #1,,,,,,,
フェアリーフォレスト レミちゃん,1,Finished Airing,"Apr 21, 2000","['Adult Source Media', 'Obtain Future']","None found,","None found,",Unknown,21 min.,Rx - Hentai,N/A,#9385,"2,114",3,['OVA'],['Hentai'],4.60,805,Fairy in the Forest,,Fairy Forest Remi-chan,,,,,
ドリームハザード -悪魔のプログラム-,1,Finished Airing,"Feb 25, 1998",['NuTech Digital'],['Central Park Media'],"None found,",Manga,27 min.,Rx - Hentai,N/A,#10712,"1,241",2,['OVA'],['Hentai'],4.59,443,,,Dream Hazard,,,,,
超能力少女バラバンバ,1,Finished Airing,"Jun 21, 1985",['Japan Home Video'],"None found,","None found,",Unknown,28 min.,Rx - Hentai,N/A,#11361,954,0,['OVA'],['Hentai'],4.58,265,,,,,,,,
変貌 モラルハザード,1,Finished Airing,"Mar 23, 2001",['Obtain Future'],"None found,","None found,",Unknown,22 min.,Rx - Hentai,N/A,#10831,"1,186",2,['OVA'],['Hentai'],4.57,452,Moral Hazard,,,,,,,
かぐや姫 竹取物語,1,Finished Airing,"Sep 21, 1987","None found,","None found,","None found,",Unknown,27 min.,Rx - Hentai,N/A,#11235,999,2,['OVA'],['Hentai'],4.56,301,Kaguyahime: Taketori Monogatari,,,['Historical'],,,,
WAKE UP! アリア 魔女っ娘バージン 危機一髪,1,Finished Airing,"Feb 20, 1998","None found,","None found,","None found,",Unknown,28 min.,Rx - Hentai,N/A,#11273,987,1,['OVA'],['Hentai'],4.54,321,"Aria, Wake Up!, Best of Kitty #2 (1)",,Wake Up! Aria,,,,,
青い体験,2,Finished Airing,"Oct 11, 1984 to Oct 7, 1985","None found,","None found,","None found,",Unknown,25 min. per ep.,Rx - Hentai,N/A,#11781,810,2,['OVA'],['Hentai'],4.54,266,,,,,,,,
メイド召しませ,1,Finished Airing,"Dec 1, 2001",['Obtain Future'],"None found,","None found,",Unknown,28 min.,Rx - Hentai,N/A,#11000,"1,107",0,['OVA'],['Hentai'],4.54,367,Mahya the Servant,,,,,,,
69 핑크 라이더스,1,Finished Airing,"Jun 30, 2000","None found,","None found,","None found,",Unknown,51 min.,Rx - Hentai,N/A,#10444,"1,384",3,['OVA'],['Hentai'],4.47,402,Pink Riders,,,,,,,
家庭教師　美少年狩り,1,Finished Airing,"Dec 21, 2001",['Obtain Future'],"None found,","None found,",Unknown,19 min.,Rx - Hentai,N/A,#11691,840,0,['OVA'],['Hentai'],4.47,206,,,,,,,,
ミニスカ学園,1,Finished Airing,"Dec 21, 2001",['Obtain Future'],"None found,","None found,",Original,19 min.,Rx - Hentai,N/A,#10362,"1,435",3,['OVA'],['Hentai'],4.42,514,Mini Skirt Jogakuen,,Girl's Locker Room Lust,,,,,
pico ～ぼくの小さな夏物語～,1,Finished Airing,"Nov 11, 2007",['Natural High'],"None found,","['Sugar Boy', 'Blue Cat']",Original,30 min.,PG-13 - Teens 13 or older,N/A,#5023,"11,881",87,['OVA'],,4.39,5615,Pico: Boku no Chiisana Natsu Monogatari,"['Boys Love', 'Erotica']",,,,,,
ぴことちこ,1,Finished Airing,"Apr 19, 2007",['Natural High'],"None found,","['Sugar Boy', 'Blue Cat']",Original,36 min.,Rx - Hentai,N/A,#2170,"65,703",306,['OVA'],,4.38,42221,"Boku no Piko OVA 2, Boku no Pico, Pico & Chico","['Boys Love', 'Hentai']",,,,,,
バトルキャン²,1,Finished Airing,"May 25, 1987","None found,",['Media Blasters'],"None found,",Unknown,30 min.,Rx - Hentai,N/A,#11108,"1,060",0,['OVA'],,4.36,400,Battle Can-Can,"['Action', 'Sci-Fi', 'Hentai']",Battle Can2,,,,,
ぴこ×CoCo×ちこ,1,Finished Airing,"Oct 9, 2008",['Natural High'],"None found,","['Sugar Boy', 'Blue Cat']",Original,35 min.,Rx - Hentai,N/A,#2248,"61,525",312,['OVA'],,4.35,39180,"Boku no Pico OVA 3, Boku no Piko","['Boys Love', 'Hentai']",,,,,,
女子大エッチ相談室,1,Finished Airing,"Dec 15, 2001",['Obtain Future'],"None found,","None found,",Unknown,21 min.,Rx - Hentai,N/A,#10225,"1,534",6,['OVA'],['Hentai'],4.28,515,,,University Girls: Special Counseling,,,,,
ぼくのぴこ,1,Finished Airing,"Sep 7, 2006",['Natural High'],"None found,","['Sugar Boy', 'Blue Cat']",Original,34 min.,Rx - Hentai,N/A,#1117,"161,525","1,562",['OVA'],,4.26,105072,"Boku no Piko, My Pico, Boku no Pico OVA 1 - My Pico","['Boys Love', 'Hentai']",,,,,,
エスパー美少女まなみ,1,Finished Airing,"Jul 27, 2001",['Obtain Future'],"None found,","None found,",Unknown,22 min.,Rx - Hentai,N/A,#10486,"1,361",2,['OVA'],['Hentai'],4.23,462,,,Sexy Fighter Manami,,,,,
블루시걸,1,Finished Airing,"Nov 5, 1994","None found,","None found,","None found,",Unknown,1 hr. 14 min.,Rx - Hentai,N/A,#11314,976,1,['Movie'],,4.14,320,Beullu sigeol,"['Action', 'Hentai']",Blue Seagull,,,,,
オフサイドガール,2,Finished Airing,"Apr 25, 2007 to Aug 25, 2007","['MS Pictures', 'AniMan']","None found,",['Cutie Bee'],Manga,15 min. per ep.,Rx - Hentai,N/A,#9607,"1,944",2,['OVA'],,4.05,597,,"['Sports', 'Hentai']",,,,,,
終ノ空,1,Finished Airing,"Aug 10, 2002",['Obtain Future'],"None found,","None found,",Visual novel,23 min.,Rx - Hentai,N/A,#7201,"4,790",19,['OVA'],['Hentai'],2.24,2834,Endsky,,,,,,,
森のくまさん、冬眠中。,Unknown,Not yet aired,Not available,"None found,","None found,","None found,",Manga,Unknown,R+ - Mild Nudity,N/A,#12392,658,0,['TV'],,,,"Mori no Kuma-san, Toumin-chuu ni Chikubi wo Mederaremashita.","['Boys Love', 'Erotica']",,,,Unknown,?,
オタクに優しいギャルとか、巨乳の幼なじみとか。,2,Not yet aired,"Apr 8, 2022 to Jun 17, 2022","None found,","None found,","None found,",Manga,20 min. per ep.,Rx - Hentai,N/A,#15208,265,1,['OVA'],['Hentai'],,,,,,,,,,
王子の本命は悪役令嬢,Unknown,Not yet aired,"Jan 10, 2022 to ?",['Suiseisha'],"None found,",['Studio Hokiboshi'],Web manga,Unknown,R+ - Mild Nudity,N/A,#9697,"1,885",4,['TV'],,,,Game World Reincarnation ~Sex on the First Night~,"['Fantasy', 'Romance', 'Erotica']",,,,Mondays at 01:00 (JST),['Winter 2022'],
パパ喝ッ!,Unknown,Not yet aired,"Dec 24, 2021 to ?","None found,","None found,",['Nur'],Original,20 min.,Rx - Hentai,N/A,#12924,533,3,['OVA'],['Hentai'],,,,,,,,,,
カチュアアヘりイキ出産シーン,1,Finished Airing,"Sep 14, 2012","None found,","None found,",['Studio 9 Maiami'],Visual novel,3 min.,Rx - Hentai,N/A,#13954,375,1,['Special'],['Hentai'],,,Princess Knight☆Catue Special,,,,,,,
レイプ！レイプ！レイプ！DVD-BOX 特典映像,1,Finished Airing,"Oct 8, 2010",['Valkyria'],"None found,","None found,",Visual novel,1 min.,Rx - Hentai,N/A,#14072,366,0,['Special'],['Hentai'],,,Rape! Rape! Rape! Tokuten Eizou,,,,,,,
囀る鳥は羽ばたかない The storm breaks,1,Not yet aired,Not available,"None found,","None found,",['GRIZZLY'],Manga,Unknown,R+ - Mild Nudity,N/A,#6249,"6,842",18,['Movie'],,,,Twittering Birds Never Fly,"['Boys Love', 'Drama', 'Erotica']",,,,,,
聖奴隷学園2,2,Not yet aired,"Feb 11, 2022 to ?","None found,","None found,","None found,",Visual novel,20 min. per ep.,Rx - Hentai,N/A,#15906,220,0,['OVA'],['Hentai'],,,,,,,,,,
しょうたいむ！～歌のお姉さんだってしたい,Unknown,Not yet aired,Not available,"None found,","None found,","None found,",Manga,Unknown,R+ - Mild Nudity,N/A,#11017,"1,164",0,['TV'],['Erotica'],,,,,,,,Unknown,?,
すヾみ舟,1,Finished Airing,1932,"None found,","None found,","None found,",Original,10 min.,Rx - Hentai,N/A,#14154,353,0,['Movie'],['Hentai'],,,Suzumi-fune,,,['Historical'],,,,
特典映像 - シャロンの手料理 vs ミューのコスプレ vs ニーナの既成事実 三つ巴の決戦,1,Finished Airing,"Dec 18, 2009","None found,","None found,","None found,",Visual novel,5 min.,Rx - Hentai,N/A,#14712,305,0,['Special'],,,,"Words Worth Special, Sharon's Home Cooking vs. Mew's Cosplay vs. Nina's Established Fact—Three-Cornered Battle","['Comedy', 'Hentai']",,,,,,
Abandon -100ヌキしないと出られない不思議な教室-,Unknown,Not yet aired,"Feb 4, 2022 to ?",['Mary Jane'],"None found,","None found,",Manga,20 min.,Rx - Hentai,N/A,#13553,423,0,['OVA'],['Hentai'],,,,,,,,,,
茜ハ摘マレ染メラレル,2,Not yet aired,"Feb 4, 2022",['Lune Pictures'],"None found,",['T-Rex'],Manga,16 min. per ep.,Rx - Hentai,N/A,#12103,720,4,['OVA'],['Hentai'],,,Akane's In A Pinch,,,,,,,
アネハメ 俺の初恋が実姉なわけがない,Unknown,Not yet aired,"Dec 24, 2021 to ?",['Mary Jane'],"None found,","None found,",Light novel,20 min.,Rx - Hentai,N/A,#13140,491,0,['OVA'],['Hentai'],,,,,,,,,,
エロ医師 ~清純美少女を言葉巧みにハメたい放題~,Unknown,Not yet aired,"Jan 28, 2022 to ?","None found,","None found,","None found,",Visual novel,20 min.,Rx - Hentai,N/A,#15534,246,0,['OVA'],['Hentai'],,,,,,,,,,
Garden ~高嶺家の二輪花~ THE ANIMATION,Unknown,Not yet aired,"Feb 25, 2022 to ?",['Pink Pineapple'],"None found,",['Seven'],Manga,20 min.,Rx - Hentai,N/A,#14966,282,0,['OVA'],['Hentai'],,,,,,,,,,
がーるずらっしゅ THE ANIMATION,2,Not yet aired,"Dec 24, 2021",['Pink Pineapple'],"None found,",['Studio 1st'],Manga,20 min. per ep.,Rx - Hentai,N/A,#12082,724,2,['OVA'],['Hentai'],,,,,,,,,,
ソウル美人記者 愛欲インサイダー,1,Finished Airing,"Apr 26, 2002","None found,","None found,","None found,",Unknown,1 hr. 25 min.,Rx - Hentai,N/A,#12902,536,1,['OVA'],['Hentai'],,,Seoul Bijin Kisha: Aiyoku Insider,,,,,,,
(秘)劇画 浮世絵千一夜,1,Finished Airing,"Oct 29, 1969",['Toei Video'],"None found,","None found,",Unknown,1 hr. 10 min.,Rx - Hentai,N/A,#12800,561,1,['Movie'],,,,"Hi Gekiga Ukiyoe Sen'ya Ichiya, Maruhi Gekiga Ukiyoe Sen'ya Ichiya, Maruhi Gekiga: Ukiyo-e 1001 Nights","['Action', 'Hentai']",,,,,,
ひみつのきち,2,Not yet aired,"Feb 4, 2022 to ?",['Queen Bee'],"None found,","None found,",Manga,20 min. per ep.,Rx - Hentai,N/A,#13827,386,1,['OVA'],['Hentai'],,,,,,,,,,
イケナイＢＯＹ イカす（秘）ハンドパワー,1,Finished Airing,"Sep 28, 1990","None found,","None found,",['J.C.Staff'],Unknown,50 min.,Rx - Hentai,N/A,#13457,439,0,['OVA'],,,,,"['Comedy', 'Hentai']",,,,,,
遺作 終劇「罪と罰」,1,Finished Airing,"Mar 26, 1999",['Pink Pineapple'],"None found,","['Studio Kyuuma', 'Triple X']",Visual novel,29 min.,Rx - Hentai,N/A,#15493,249,0,['Special'],['Hentai'],,,"Isaku Recap, Isaku: Crime And Punishment",,,,,,,
解放区 ~痴漢ハーレム~,1,Finished Airing,"Mar 25, 2007",['Jam'],['Kitty Media'],['Studio Jam'],Visual novel,17 min.,Rx - Hentai,N/A,#17849,114,0,['OVA'],['Hentai'],,,Pervs on a Train: Free Zone,,,,,,,
キミはやさしく寝取られる THE ANIMATION,Unknown,Not yet aired,"Feb 25, 2022 to ?",['Pink Pineapple'],"None found,",['Seven'],Original,20 min.,Rx - Hentai,N/A,#15189,266,0,['OVA'],['Hentai'],,,,,,,,,,
コンビニ少女Z,Unknown,Not yet aired,"Dec 24, 2021 to ?","None found,","None found,",['Suzuki Mirano'],Visual novel,30 min.,Rx - Hentai,N/A,#12105,719,1,['OVA'],['Hentai'],,,,,,,,,,
ころがし涼太,3,Finished Airing,"Nov 21, 1990 to Nov 21, 1991",['Knack Productions'],"None found,","None found,",Unknown,41 min. per ep.,R+ - Mild Nudity,N/A,#14518,320,1,['OVA'],,,,,"['Action', 'Comedy', 'Hentai']",,,,,,['Seinen']
巨乳エルフ母娘催眠,2,Not yet aired,"Jan 28, 2022",['Lune Pictures'],"None found,",['T-Rex'],Visual novel,20 min. per ep.,Rx - Hentai,N/A,#12789,560,0,['OVA'],['Hentai'],,,,,,,,,,
えみる触手凌辱種付けシーン,1,Finished Airing,"Dec 11, 2015",['Valkyria'],"None found,","['Studio Fantasia', 'Rabbit Gate']",Visual novel,3 min.,Rx - Hentai,N/A,#13947,377,1,['Special'],,,,Mahou Shoujo Elena Special,"['Supernatural', 'Hentai']",,,,,,
